"ID";"DPERM";"EDAD";"RINF";"RRC";"RRX";"NCAMAS";"AEM";"PDP";"NENFERM";"FSD";"REGION"
5;11,2;56,5;5,7;34,5;88,9;180;"2";134;151;40;"1"
10;8,84;56,3;6,3;29,6;82,6;85;"2";59;66;40;"1"
13;12,78;56,8;7,7;46;116,9;322;"1";252;349;57,1;"1"
18;11,62;53,9;6,4;25,5;99,2;133;"2";113;101;37,1;"1"
27;9,31;47,2;4,5;30,2;101,3;170;"2";124;173;37,1;"1"
28;8,19;52,1;3,2;10,8;59,2;176;"2";156;88;37,1;"1"
29;11,65;54,5;4,4;18,6;96,1;248;"2";217;189;37,1;"1"
31;11,03;49,9;5;19,7;102,1;318;"2";270;335;57,1;"1"
33;11,77;54,1;5,3;17,3;56;196;"2";164;165;34,3;"1"
34;13,59;54;6,1;24,2;111,7;312;"2";258;169;54,3;"1"
36;10,33;55,8;5;21,2;104,3;266;"2";181;149;54,3;"1"
55;8,63;54;3,1;8,4;56,2;76;"2";39;44;31,4;"1"
61;10,42;58;3,4;8;59;119;"2";67;64;31,4;"1"
66;9,42;50,6;4,3;24,8;62,8;508;"2";421;528;48,6;"1"
70;8,03;54,2;3,5;24,3;87,3;97;"2";65;55;28,6;"1"
77;8,9;49,7;2,9;12,7;86,9;52;"2";37;35;28,6;"1"
89;9,36;54,1;4,8;18,3;90,6;165;"2";127;158;45,7;"1"
96;8,54;56,1;2,5;27;82,5;98;"2";57;75;45,7;"1"
98;12,01;52,8;4,8;10,8;96,9;298;"2";237;115;45,7;"1"
102;9,89;45,2;4,3;11,8;108,7;190;"2";141;112;42,9;"1"
104;13,95;65,9;6,6;15,6;133,5;356;"2";308;182;62,9;"1"
47;19,56;59,9;6,5;17,2;113,7;306;"2";273;172;51,4;"1"
112;17,94;56,2;5,9;26,4;91,8;835;"1";791;407;62,9;"1"
2;8,82;58,2;1,6;3,8;51,7;80;"2";51;52;40;"2"
8;11,18;45,7;5,4;60,5;85,8;640;"1";399;360;60;"2"
14;7,58;56,7;3,7;20,8;88;97;"2";59;79;37,1;"2"
19;9,06;52,8;4,2;6,9;75,9;134;"2";103;125;37,1;"2"
22;10,24;49;4,8;36,3;112,6;195;"2";163;170;37,1;"2"
26;8,28;49,5;3,9;12;113,1;546;"1";413;436;57,1;"2"
39;10,47;53,2;4,1;5,7;69,1;196;"2";168;153;54,3;"2"
45;8,37;50,7;5,5;15,1;84,8;115;"2";96;88;34,3;"2"
48;10,9;57,2;5,5;10,6;71,9;593;"2";446;211;51,4;"2"
52;9,23;51,6;4,3;11,6;42,6;620;"2";413;420;71,4;"2"
54;12,07;43,7;7,8;52,4;105,3;157;"2";115;76;31,4;"2"
59;10,73;50,6;3,9;19,3;101;445;"1";374;345;51,4;"2"
62;11,18;51;5,7;18,8;55,9;595;"1";546;392;68,6;"2"
64;9,66;52,1;4,4;9,9;98,3;83;"2";66;95;28,6;"2"
67;10,02;49,5;4,4;8,3;93;265;"2";191;202;48,6;"2"
71;7,39;51;4,2;14,6;88,4;72;"2";38;67;28,6;"2"
75;8,45;38,8;3,4;12,9;85;235;"2";143;124;48,6;"2"
78;10,23;53,2;4,9;9,9;77,9;752;"1";595;446;68,6;"2"
79;8,88;55,8;4,4;14,1;76,8;237;"2";165;182;48,6;"2"
80;10,3;59,6;5,1;27,8;88,9;175;"2";113;73;45,7;"2"
82;7,94;49,5;3,5;6,2;92,3;195;"2";139;116;45,7;"2"
88;10,39;54,6;4,3;14;88,3;353;"2";223;200;65,7;"2"
95;9,77;50,2;5,3;15,7;89,7;154;"2";123;148;25,7;"2"
108;8,02;55;2,1;3,8;46,5;91;"2";44;32;22,9;"2"
109;11,8;53,8;5,7;9,1;116,9;571;"1";441;469;62,9;"2"
7;9,68;57,8;4,6;16,7;79;186;"2";151;129;40;"3"
9;8,67;48,2;4,3;24,4;90,8;182;"2";130;118;40;"3"
12;8,3;57,2;4,3;6,8;83,8;167;"2";105;59;40;"3"
40;8,16;60,9;1,3;1,9;58;73;"2";49;21;14,3;"3"
41;8,48;51,1;3,7;12,1;92,8;166;"2";145;118;34,3;"3"
42;10,72;53,8;4,7;23,2;94,1;113;"2";90;107;34,3;"3"
43;11,2;45;3;7;78,9;130;"2";95;56;34,3;"3"
44;10,12;51,7;5,6;14,9;79,1;362;"1";313;264;54,3;"3"
50;8,88;51,5;4,2;10,1;86,9;305;"2";238;197;51,4;"3"
53;11,41;61,1;7,6;16,6;97,9;535;"2";330;273;51,4;"3"
60;11,46;56,9;4,5;15,6;97,7;191;"2";153;132;31,4;"3"
65;7,78;45,5;5;20,9;71,6;489;"2";391;329;48,6;"3"
68;8,58;55;3,7;7,4;95,9;304;"2";248;218;48,6;"3"
69;9,61;52,4;4,5;6,9;87,2;487;"2";404;220;48,6;"3"
72;7,08;52;2;12,3;56,4;87;"2";52;57;28,6;"3"
73;9,53;51,5;5,2;15;65,7;298;"2";241;193;48,6;"3"
85;8,09;56,9;1,7;7,6;56,9;92;"2";61;61;45,7;"3"
86;9,05;51,2;4,1;20,5;79,8;195;"2";127;112;45,7;"3"
90;11,41;50,4;5,8;23,8;73;424;"1";359;335;45,7;"3"
91;8,86;51,3;2,9;9,5;87,5;100;"2";65;53;25,7;"3"
92;8,93;56;2;6,2;72,5;95;"2";59;56;25,7;"3"
97;8,66;52,8;3,8;6,8;69,5;246;"2";178;177;45,7;"3"
99;7,95;51,8;2,3;4,6;54,9;163;"2";128;93;42,9;"3"
100;10,15;51,9;6,2;16,4;59,2;568;"1";452;371;62,9;"3"
105;9,44;52,5;4,5;10,9;58,5;297;"2";230;263;42,9;"3"
106;10,8;63,9;2,9;1,6;57,4;130;"2";69;62;22,9;"3"
107;7,14;51,7;1,4;4,1;45,7;115;"2";90;19;22,9;"3"
110;9,5;49,3;5,8;42;70,9;98;"2";68;46;22,9;"3"
113;9,41;59,5;3,1;20,6;91,7;29;"2";20;22;22,9;"3"
1;7,13;55,7;4,1;9;39,6;279;"2";207;241;60;"4"
4;8,95;53,7;5,6;18,9;122,8;147;"2";53;148;40;"4"
17;8,28;48,1;4,5;26;101,8;108;"2";84;73;37,1;"4"
21;7,53;42;4,2;23,1;98,9;95;"2";47;49;17,1;"4"
25;9,2;52,2;4;17,5;71,1;298;"1";244;236;57,1;"4"
46;10,16;54,2;4,6;8,4;51,5;831;"1";581;629;74,3;"4"
57;7,14;59;3,7;2,6;75,8;70;"2";37;35;31,4;"4"
63;7,93;64,1;5,4;7,5;98,1;68;"2";42;49;28,6;"4"
83;7,63;52,1;5,5;11,6;61,1;197;"2";109;110;45,7;"4"
84;8,77;54,5;4,7;5,2;47;143;"2";85;87;25,7;"4"
94;8,15;54,9;5,3;12,3;79,8;99;"2";55;71;25,7;"4"
101;9,76;53,2;2,6;6,9;80,1;64;"2";47;55;22,9;"4"
103;7,14;57,6;2,7;13,1;92,6;92;"2";40;50;22,9;"4"
